Time,Source,Destination,Size
1738653958.2572217,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653958.2576818,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653958.2582586,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,266
1738653958.264798,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653958.3975253,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653958.4105363,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653958.4159846,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653958.4557898,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653958.5432696,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1514
1738653958.5442896,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1514
1738653958.5449443,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1369
1738653958.5453227,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653958.5521324,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,212
1738653958.832984,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,105
1738653958.833466,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,123
1738653958.8338206,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653958.8376172,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,141
1738653958.8383188,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,1140
1738653958.8387709,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,92
1738653958.8392274,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,835
1738653959.1087513,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653959.1091273,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653959.1097422,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,92
1738653959.1642401,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
